Artist,Lyrics
adele,"Looking for some education Made my way into the night All that bullshit conversation Baby, can't you read the signs? I won't bore you with the details, baby"
adele,I don't even wanna waste your time Let's just say that maybe You could help me ease my mind I ain't Mr. Right But if you're looking for fast love
adele,"If that's love in your eyes It's more than enough Had some bad love So fast love is all that I've got on my mind Ooh, ooh"
adele,"Ooh, ooh Looking for some affirmation Made my way into the sun My friends got their ladies And they're all having babies"
adele,"I just wanna have some fun I won't bore you with the details, baby I don't even wanna waste your time Let's just say that maybe You could help me ease my mind"
adele,I ain't Mr. Right But if you're looking for fast love If that's love in your eyes It's more than enough I've had some bad love
adele,"So fast love is all that I've got on my mind Ooh, ooh Ooh In the absence of security I made my way into the night Stupid cupid keeps on calling me"
adele,"And I see nothing in his eyes I miss my baby Oh I, I miss my baby I miss my baby"
adele,"I miss, I miss, I miss, I miss my baby Ooh I, I miss my baby I don't want you to be no slave I don't want you to work all day But I want you to be true"
adele,"And I just want to make love to you Love to you, ooh baby Love to you, yeah All I want to do is wash your clothes I don't want to keep you indoors"
adele,"There is nothing you can't do But keep me making love to me Love to me, ooh baby Love to you, yeah And I can tell by the way you walk that walk"
adele,And I can hear by the way you talk that talk And I can know by the way you treat your girl That I can give you all the loving in the whole wide world All I want you to do is make your bread Just to make sure you're well fed
adele,"I don't want you sad and blue And I just want to make love to you Love to you, ooh yeah Love to you, yeah And I can tell by the way you walk that walk"
adele,And I can hear by the way you talk that talk And I can know by the way you treat your girl That I can give you all the loving in the whole wide world All I want you to do baby is make your bread Just to make sure you're well fed
adele,"I don't want you sad and blue And I just want to make love to you Love to you, ooh yeah Love to you, yeah"
adele,"Oh I just want to make love to you Happy New Year! I heard that you're settled down That you found a girl and you're married now I heard that your dreams came true Guess she gave you things I didn't give to you Old friend, why are you so shy?"
adele,"Ain't like you to hold back or hide from the light I hate to turn up out of the blue, uninvited But I couldn't stay away, I couldn't fight it I had hoped you'd see my face and that you'd be reminded That for me, it isn't over Never mind, I'll find someone like you"
adele,"I wish nothing but the best for you two Don't forget me, I beg, I remember you said Sometimes it lasts in love, but sometimes it hurts instead Sometimes it lasts in love, but sometimes it hurts instead You know how the time flies"
adele,"Only yesterday was the time of our lives We were born and raised in a summer haze Bound by the surprise of our glory days I hate to turn up out of the blue, uninvited But I couldn't stay away, I couldn't fight it"
adele,"I had hoped you'd see my face and that you'd be reminded That for me, it isn't over Never mind, I'll find someone like you I wish nothing but the best for you two Don't forget me, I beg, I remember you said"
adele,"Sometimes it lasts in love, but sometimes it hurts instead, yeah Nothing compares, no worries or cares Regrets and mistakes, they're memories made Who would have known how bittersweet this would taste? Never mind, I'll find someone like you I wish nothing but the best for you"
adele,"Don't forget me, I beg, I remember you said Sometimes it lasts in love, but sometimes it hurts instead Never mind, I'll find someone like you I wish nothing but the best for you two Don't forget me, I beg, I remember you said"
adele,"Sometimes it lasts in love, but sometimes it hurts instead Sometimes it lasts in love, but sometimes it hurts instead There's a fire starting in my heart Reaching a fever pitch, it's bringing me out the dark Finally I can see you crystal clear"
adele,[Clean version:] Go 'head and sell me out and I'll lay your ship bare [Explicit version:] Go 'head and sell me out and I'll lay your shit bare See how I leave with every piece of you Don't underestimate the things that I will do There's a fire starting in my heart
